"id","State__id","State__City__id","State__City__Station__id","State__City__Station__lastupdate","State__City__Station__Pollutant_Index__Avg","State__City__Station__Pollutant_Index__Max","State__City__Station__Pollutant_Index__Min","State__City__Station__Pollutant_Index__id"
"India","Andhra_Pradesh","Amaravati","Secretariat, Amaravati - APPCB","08-01-2019 09:00:00","271","345","142","PM2.5"
"","","","","","201","335","120","PM10"
"","","","","","138","202","86","NO2"
"","","","","","3","5","2","NH3"
"","","","","","18","43","2","SO2"
"","","","","","60","97","23","CO"
"","","","","","7","58","5","OZONE"
"","","Rajamahendravaram","Anand Kala Kshetram, Rajamahendravaram - APPCB","08-01-2019 09:00:00","275","339","118","PM2.5"
"","","","","","175","270","113","PM10"
"","","","","","55","128","29","NO2"
"","","","","","9","13","6","NH3"
"","","","","","24","59","13","SO2"
"","","","","","55","196","37","OZONE"
"","","Tirupati","Tirumala, Tirupati - APPCB","08-01-2019 09:00:00","73","169","28","PM2.5"
"","","","","","77","124","38","PM10"
"","","","","","84","135","44","NO2"
"","","","","","2","4","2","NH3"
"","","","","","13","24","10","SO2"
"","","","","","13","38","2","CO"
"","","","","","73","85","22","OZONE"
"","","Vijayawada","PWD Grounds, Vijayawada - APPCB","08-01-2019 09:00:00","65","110","43","PM2.5"
"","","","","","79","86","72","PM10"
"","","","","","18","23","15","NO2"
"","","","","","2","3","2","NH3"
"","","","","","13","18","10","SO2"
"","","","","","74","80","49","CO"
"","","Visakhapatnam","GVM Corporation, Visakhapatnam - APPCB","08-01-2019 09:00:00","283","338","173","PM2.5"
"","","","","","243","342","122","PM10"
"","","","","","155","204","59","NO2"
"","","","","","4","5","3","NH3"
"","","","","","26","80","11","SO2"
"","","","","","67","106","32","CO"
"","","","","","14","94","3","OZONE"
"","Bihar","Gaya","Collectorate, Gaya - BSPCB","08-01-2019 09:00:00","399","500","214","PM2.5"
"","","","","","7","10","4","NO2"
"","","","","","27","64","13","SO2"
"","","","","","49","72","9","CO"
"","","","","","24","69","5","OZONE"
"","","Muzaffarpur","Muzaffarpur Collectorate, Muzaffarpur - BSPCB","08-01-2019 09:00:00","NA","NA","NA","PM2.5"
"","","","","","NA","NA","NA","NO2"
"","","","","","16","35","6","SO2"
"","","","","","14","22","2","CO"
"","","","","","43","69","33","OZONE"
"","","Patna","IGSC Planetarium Complex, Patna - BSPCB","08-01-2019 09:00:00","339","462","209","PM2.5"
"","","","","","31","41","25","NO2"
"","","","","","40","49","30","SO2"
"","","","","","3","115","6","CO"
"","","","","","28","60","14","OZONE"
"","Delhi","Delhi","Alipur, Delhi - DPCC","08-01-2019 09:00:00","339","404","301","PM2.5"
"","","","","","199","301","139","PM10"
"","","","","","119","186","67","NO2"
"","","","","","12","22","8","NH3"
"","","","","","38","82","20","SO2"
"","","","","","35","85","25","CO"
"","","","","","3","78","2","OZONE"
"","","","Anand Vihar, Delhi - DPCC","08-01-2019 09:00:00","351","454","270","PM2.5"
"","","","","","253","458","153","PM10"
"","","","","","134","201","78","NO2"
"","","","","","21","32","12","NH3"
"","","","","","10","18","3","SO2"
"","","","","","50","139","40","CO"
"","","","","","20","24","18","OZONE"
"","","","Ashok Vihar, Delhi - DPCC","08-01-2019 09:00:00","367","435","302","PM2.5"
"","","","","","225","360","156","PM10"
"","","","","","69","100","35","NO2"
"","","","","","10","12","8","NH3"
"","","","","","28","42","18","SO2"
"","","","","","63","108","50","CO"
"","","","","","2","82","1","OZONE"
"","","","Aya Nagar, Delhi - IMD","08-01-2019 09:00:00","261","315","191","PM2.5"
"","","","","","168","257","128","PM10"
"","","","","","26","29","25","NO2"
"","","","","","76","91","68","CO"
"","","","","","35","46","34","OZONE"
"","","","Bawana, Delhi - DPCC","08-01-2019 09:00:00","364","466","303","PM2.5"
"","","","","","252","430","171","PM10"
"","","","","","50","106","29","NO2"
"","","","","","10","13","8","NH3"
"","","","","","20","27","15","SO2"
"","","","","","61","110","42","CO"
"","","","","","4","6","3","OZONE"
"","","","Burari Crossing, Delhi - IMD","08-01-2019 09:00:00","297","424","68","PM2.5"
"","","","","","207","406","129","PM10"
"","","","","","29","34","26","NO2"
"","","","","","123","126","117","CO"
"","","","","","21","33","19","OZONE"
"","","","CRRI Mathura Road, Delhi - IMD","08-01-2019 09:00:00","344","436","214","PM2.5"
"","","","","","252","437","129","PM10"
"","","","","","26","28","25","NO2"
"","","","","","97","157","55","CO"
"","","","","","43","45","43","OZONE"
"","","","DTU, Delhi - CPCB","08-01-2019 09:00:00","347","466","220","PM2.5"
"","","","","","253","500","144","PM10"
"","","","","","98","167","44","NO2"
"","","","","","6","9","5","NH3"
"","","","","","20","39","13","SO2"
"","","","","","43","104","14","CO"
"","","","","","33","107","32","OZONE"
"","","","Dr. Karni Singh Shooting Range, Delhi - DPCC","08-01-2019 09:00:00","350","449","280","PM2.5"
"","","","","","239","431","139","PM10"
"","","","","","57","107","31","NO2"
"","","","","","8","9","6","NH3"
"","","","","","22","36","15","SO2"
"","","","","","41","136","15","CO"
"","","","","","4","84","2","OZONE"
"","","","Dwarka-Sector 8, Delhi - DPCC ","08-01-2019 09:00:00","323","436","123","PM2.5"
"","","","","","304","466","181","PM10"
"","","","","","57","107","34","NO2"
"","","","","","13","14","12","NH3"
"","","","","","24","31","20","SO2"
"","","","","","74","140","52","CO"
"","","","","","1","66","1","OZONE"
"","","","IGI Airport (T3), Delhi - IMD","08-01-2019 09:00:00","317","385","193","PM2.5"
"","","","","","210","342","153","PM10"
"","","","","","80","98","71","NO2"
"","","","","","20","39","14","CO"
"","","","","","3","10","3","OZONE"
"","","","IHBAS, Dilshad Garden, Delhi - CPCB","08-01-2019 09:00:00","317","408","212","PM2.5"
"","","","","","66","122","27","NO2"
"","","","","","13","21","9","NH3"
"","","","","","8","17","4","SO2"
"","","","","","30","101","1","CO"
"","","","ITO, Delhi - CPCB","08-01-2019 09:00:00","345","424","273","PM2.5"
"","","","","","191","366","130","PM10"
"","","","","","46","75","33","NO2"
"","","","","","6","17","3","NH3"
"","","","","","9","19","5","SO2"
"","","","","","46","124","36","CO"
"","","","","","4","34","4","OZONE"
"","","","Jahangirpuri, Delhi - DPCC","08-01-2019 09:00:00","386","500","308","PM2.5"
"","","","","","326","500","178","PM10"
"","","","","","88","142","62","NO2"
"","","","","","19","24","12","NH3"
"","","","","","26","47","15","SO2"
"","","","","","83","149","65","CO"
"","","","","","8","78","4","OZONE"
"","","","Jawaharlal Nehru Stadium, Delhi - DPCC","08-01-2019 09:00:00","366","472","260","PM2.5"
"","","","","","264","439","156","PM10"
"","","","","","71","120","32","NO2"
"","","","","","17","22","13","NH3"
"","","","","","28","54","9","SO2"
"","","","","","81","125","25","CO"
"","","","","","1","80","1","OZONE"
"","","","Lodhi Road, Delhi - IMD","08-01-2019 09:00:00","NA","NA","NA","PM2.5"
"","","","","","NA","NA","NA","PM10"
"","","","","","NA","NA","NA","NO2"
"","","","","","NA","NA","NA","CO"
"","","","","","NA","NA","NA","OZONE"
"","","","Major Dhyan Chand National Stadium, Delhi - DPCC","08-01-2019 09:00:00","312","384","207","PM2.5"
"","","","","","257","446","162","PM10"
"","","","","","82","144","44","NO2"
"","","","","","13","15","10","NH3"
"","","","","","15","23","5","SO2"
"","","","","","63","134","47","CO"
"","","","","","1","72","1","OZONE"
"","","","Mandir Marg, Delhi - DPCC","08-01-2019 09:00:00","336","404","167","PM2.5"
"","","","","","169","244","105","PM10"
"","","","","","113","154","79","NO2"
"","","","","","14","20","8","NH3"
"","","","","","7","8","5","SO2"
"","","","","","22","105","7","CO"
"","","","","","14","48","10","OZONE"
"","","","Mundka, Delhi - DPCC","08-01-2019 09:00:00","384","462","301","PM2.5"
"","","","","","362","500","219","PM10"
"","","","","","56","109","28","NO2"
"","","","","","19","23","16","NH3"
"","","","","","31","34","23","SO2"
"","","","","","63","136","35","CO"
"","","","","","5","61","3","OZONE"
"","","","NSIT Dwarka, Delhi - CPCB","08-01-2019 09:00:00","340","447","240","PM2.5"
"","","","","","34","71","14","NO2"
"","","","","","29","45","14","SO2"
"","","","","","23","104","5","CO"
"","","","","","2","60","1","OZONE"
"","","","Najafgarh, Delhi - DPCC","08-01-2019 09:00:00","289","407","207","PM2.5"
"","","","","","160","237","111","PM10"
"","","","","","49","95","34","NO2"
"","","","","","7","8","5","NH3"
"","","","","","11","25","3","SO2"
"","","","","","47","57","28","CO"
"","","","","","1","109","1","OZONE"
"","","","Narela, Delhi - DPCC","08-01-2019 09:00:00","344","444","297","PM2.5"
"","","","","","229","422","166","PM10"
"","","","","","41","100","17","NO2"
"","","","","","14","18","11","NH3"
"","","","","","21","67","6","SO2"
"","","","","","46","106","38","CO"
"","","","","","2","44","1","OZONE"
"","","","Nehru Nagar, Delhi - DPCC","08-01-2019 09:00:00","388","500","315","PM2.5"
"","","","","","275","500","170","PM10"
"","","","","","62","112","34","NO2"
"","","","","","20","25","18","NH3"
"","","","","","32","60","10","SO2"
"","","","","","54","162","28","CO"
"","","","","","1","76","1","OZONE"
"","","","Okhla Phase-2, Delhi - DPCC","08-01-2019 09:00:00","365","433","297","PM2.5"
"","","","","","262","418","175","PM10"
"","","","","","65","90","45","NO2"
"","","","","","20","25","16","NH3"
"","","","","","15","21","9","SO2"
"","","","","","66","128","45","CO"
"","","","","","8","40","8","OZONE"
"","","","Patparganj, Delhi - DPCC","08-01-2019 09:00:00","333","398","193","PM2.5"
"","","","","","199","322","127","PM10"
"","","","","","28","36","21","NO2"
"","","","","","21","27","16","NH3"
"","","","","","5","8","3","SO2"
"","","","","","42","109","25","CO"
"","","","","","1","43","1","OZONE"
"","","","Punjabi Bagh, Delhi - DPCC","08-01-2019 09:00:00","342","447","250","PM2.5"
"","","","","","219","424","141","PM10"
"","","","","","110","210","76","NO2"
"","","","","","20","22","16","NH3"
"","","","","","29","32","26","SO2"
"","","","","","49","124","25","CO"
"","","","","","6","48","6","OZONE"
"","","","Pusa, Delhi - DPCC","08-01-2019 09:00:00","364","479","273","PM2.5"
"","","","","","306","462","163","PM10"
"","","","","","103","167","50","NO2"
"","","","","","18","22","16","NH3"
"","","","","","15","26","9","SO2"
"","","","","","58","122","32","CO"
"","","","","","2","48","1","OZONE"
"","","","Pusa, Delhi - IMD","08-01-2019 09:00:00","253","387","101","PM2.5"
"","","","","","178","348","104","PM10"
"","","","","","36","73","19","NO2"
"","","","","","51","109","44","CO"
"","","","","","13","34","12","OZONE"
"","","","R K Puram, Delhi - DPCC","08-01-2019 09:00:00","NA","NA","NA","PM2.5"
"","","","","","NA","NA","NA","PM10"
"","","","","","NA","NA","NA","NO2"
"","","","","","NA","NA","NA","NH3"
"","","","","","NA","NA","NA","SO2"
"","","","","","11","22","9","OZONE"
"","","","Rohini, Delhi - DPCC","08-01-2019 09:00:00","NA","NA","NA","PM2.5"
"","","","","","NA","NA","NA","PM10"
"","","","","","NA","NA","NA","NO2"
